external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL2-C7-PA-Q001	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-EMOTIONAL_INTELLIGENCE	LTL2-C7-A-EMOTIONAL_INTELLIGENCE	medium	understanding	multiple_choice	both	cap_direct	Emotional intelligence refers primarily to how well a leader	uses logic without emotion	handles self and relationships	hides feelings from followers	persuades others through rank	B	Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships.	1	Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “uses logic without emotion” is plausible, but it does not match the exact concept tested here. Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships.	Correct. Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships.	Not quite. “hides feelings from followers” is plausible, but it does not match the exact concept tested here. Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships.	Not quite. “persuades others through rank” is plausible, but it does not match the exact concept tested here. Emotional intelligence is the intelligent handling of yourself, your emotions, and your relationships.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of emotional intelligence, then compare it with the closest distractor and state the one key difference.	EI = me + we.	medium	concept_diagram	optional_after_answer	ltl2_c7_pa_q001	Simple instructional diagram contrasting emotional intelligence with a nearby but different leadership concept.	EI = me + we.	A simple diagram illustrating emotional intelligence and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q002,LTL2-C7-PA-Q003	40
LTL2-C7-PA-Q002	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-COMPONENTS_OF_EI	LTL2-C7-A-COMPONENTS_OF_EI	hard	recall	multiple_choice	both	cap_direct	Which list contains the five components of emotional intelligence?	Self-awareness, managing emotions, self-motivation, empathy, interpersonal skills	Integrity, service, excellence, respect, courage	Task behavior, relationship behavior, power, authority, control	Vision, strategy, planning, execution, evaluation	A	The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills.	1	The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Correct. The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills.	Not quite. “Integrity, service, excellence, respect, courage” is plausible, but it does not match the exact concept tested here. The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills.	Not quite. “Task behavior, relationship behavior, power, authority, control” is plausible, but it does not match the exact concept tested here. The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills.	Not quite. “Vision, strategy, planning, execution, evaluation” is plausible, but it does not match the exact concept tested here. The five components are self-awareness, managing emotions, self-motivation, empathy, and interpersonal skills.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of components of EI, then compare it with the closest distractor and state the one key difference.	Know, manage, motivate, empathize, relate.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q002	Simple instructional diagram contrasting components of EI with a nearby but different leadership concept.	Know, manage, motivate, empathize, relate.	A simple diagram illustrating components of EI and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q003,LTL2-C7-PA-Q004	50
LTL2-C7-PA-Q003	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-SELF_AWARENESS	LTL2-C7-A-SELF_AWARENESS	medium	understanding	multiple_choice	both	cap_direct	Self-awareness means being aware of	your mood and your thoughts about that mood	only the emotions others display	the rewards available for performance	the formal authority of your position	A	Self-awareness includes recognizing your mood and thinking about what that mood means.	1	Self-awareness includes recognizing your mood and thinking about what that mood means. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Correct. Self-awareness includes recognizing your mood and thinking about what that mood means.	Not quite. “only the emotions others display” is plausible, but it does not match the exact concept tested here. Self-awareness includes recognizing your mood and thinking about what that mood means.	Not quite. “the rewards available for performance” is plausible, but it does not match the exact concept tested here. Self-awareness includes recognizing your mood and thinking about what that mood means.	Not quite. “the formal authority of your position” is plausible, but it does not match the exact concept tested here. Self-awareness includes recognizing your mood and thinking about what that mood means.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of self-awareness, then compare it with the closest distractor and state the one key difference.	Notice the mood; name the mood.	medium	concept_diagram	optional_after_answer	ltl2_c7_pa_q003	Simple instructional diagram contrasting self-awareness with a nearby but different leadership concept.	Notice the mood; name the mood.	A simple diagram illustrating self-awareness and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q004,LTL2-C7-PA-Q005	40
LTL2-C7-PA-Q004	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-APPRAISAL	LTL2-C7-A-APPRAISAL	hard	understanding	multiple_choice	both	cap_direct	An appraisal is best described as	a formal performance review by a supervisor	an impression or interpretation of yourself, others, or a situation	a method for suppressing an unwanted emotion	a reward offered only after a goal is met	B	An appraisal is the impression, interpretation, evaluation, or expectation you form about an event.	1	An appraisal is the impression, interpretation, evaluation, or expectation you form about an event. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “a formal performance review by a supervisor” is plausible, but it does not match the exact concept tested here. An appraisal is the impression, interpretation, evaluation, or expectation you form about an event.	Correct. An appraisal is the impression, interpretation, evaluation, or expectation you form about an event.	Not quite. “a method for suppressing an unwanted emotion” is plausible, but it does not match the exact concept tested here. An appraisal is the impression, interpretation, evaluation, or expectation you form about an event.	Not quite. “a reward offered only after a goal is met” is plausible, but it does not match the exact concept tested here. An appraisal is the impression, interpretation, evaluation, or expectation you form about an event.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of appraisal, then compare it with the closest distractor and state the one key difference.	Appraisal = the meaning you assign.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q004	Simple instructional diagram contrasting appraisal with a nearby but different leadership concept.	Appraisal = the meaning you assign.	A simple diagram illustrating appraisal and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q005,LTL2-C7-PA-Q006	50
LTL2-C7-PA-Q005	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-SELF_FULFILLING_PROPHECY	LTL2-C7-A-SELF_FULFILLING_PROPHECY	hard	analysis	multiple_choice	both	cap_direct	A self-fulfilling prophecy occurs when	an expectation helps produce the result expected	a leader predicts a result using objective data	followers receive a contingent reward	a team replaces discussion with dialogue	A	A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result.	1	A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Correct. A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result.	Not quite. “a leader predicts a result using objective data” is plausible, but it does not match the exact concept tested here. A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result.	Not quite. “followers receive a contingent reward” is plausible, but it does not match the exact concept tested here. A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result.	Not quite. “a team replaces discussion with dialogue” is plausible, but it does not match the exact concept tested here. A self-fulfilling prophecy happens when expectations influence behavior and help create the expected result.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of self-fulfilling prophecy, then compare it with the closest distractor and state the one key difference.	Expect it, act it, help create it.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q005	Simple instructional diagram contrasting self-fulfilling prophecy with a nearby but different leadership concept.	Expect it, act it, help create it.	A simple diagram illustrating self-fulfilling prophecy and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q006,LTL2-C7-PA-Q007	50
LTL2-C7-PA-Q006	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-SELF_FULFILLING_PROPHECY	LTL2-C7-A-SELF_FULFILLING_PROPHECY	medium	scenario	multiple_choice	both	scenario	A cadet expects to fail a speech, avoids practicing, and then performs poorly. This best illustrates	intellectual stimulation	a self-fulfilling prophecy	referent power	personal mastery	B	The negative expectation changed the cadet’s behavior and helped produce the feared result.	1	The negative expectation changed the cadet’s behavior and helped produce the feared result. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “intellectual stimulation” is plausible, but it does not match the exact concept tested here. The negative expectation changed the cadet’s behavior and helped produce the feared result.	Correct. The negative expectation changed the cadet’s behavior and helped produce the feared result.	Not quite. “referent power” is plausible, but it does not match the exact concept tested here. The negative expectation changed the cadet’s behavior and helped produce the feared result.	Not quite. “personal mastery” is plausible, but it does not match the exact concept tested here. The negative expectation changed the cadet’s behavior and helped produce the feared result.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of self-fulfilling prophecy, then compare it with the closest distractor and state the one key difference.	Belief shaped behavior; behavior shaped result.	medium	concept_diagram	optional_after_answer	ltl2_c7_pa_q006	Simple instructional diagram contrasting self-fulfilling prophecy with a nearby but different leadership concept.	Belief shaped behavior; behavior shaped result.	A simple diagram illustrating self-fulfilling prophecy and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q007,LTL2-C7-PA-Q008	40
LTL2-C7-PA-Q007	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-EMOTIONAL_INTELLIGENCE	LTL2-C7-A-EMOTIONAL_INTELLIGENCE	hard	analysis	multiple_choice	both	cap_direct	Why is emotional intelligence important to transformational leadership?	It replaces technical knowledge	It helps leaders form emotional bonds, empathize, and motivate followers	It gives leaders legitimate power	It removes the need for standards	B	Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds.	1	Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “It replaces technical knowledge” is plausible, but it does not match the exact concept tested here. Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds.	Correct. Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds.	Not quite. “It gives leaders legitimate power” is plausible, but it does not match the exact concept tested here. Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds.	Not quite. “It removes the need for standards” is plausible, but it does not match the exact concept tested here. Emotional intelligence helps leaders understand followers, build consensus, and create motivating emotional bonds.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of emotional intelligence, then compare it with the closest distractor and state the one key difference.	Transforming people requires understanding people.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q007	Simple instructional diagram contrasting emotional intelligence with a nearby but different leadership concept.	Transforming people requires understanding people.	A simple diagram illustrating emotional intelligence and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q008,LTL2-C7-PA-Q009	50
LTL2-C7-PA-Q008	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-SELF_AWARENESS	LTL2-C7-A-SELF_AWARENESS	medium	understanding	multiple_choice	both	cap_direct	Which action would most directly improve self-awareness?	Avoiding feedback to preserve confidence	Reflecting honestly and seeking feedback	Using punishment to change a mood	Delegating every difficult conversation	B	Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions.	1	Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “Avoiding feedback to preserve confidence” is plausible, but it does not match the exact concept tested here. Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions.	Correct. Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions.	Not quite. “Using punishment to change a mood” is plausible, but it does not match the exact concept tested here. Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions.	Not quite. “Delegating every difficult conversation” is plausible, but it does not match the exact concept tested here. Honest reflection, self-assessment, and feedback improve awareness of strengths, weaknesses, and emotions.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of self-awareness, then compare it with the closest distractor and state the one key difference.	Reflect, assess, ask.	medium	concept_diagram	optional_after_answer	ltl2_c7_pa_q008	Simple instructional diagram contrasting self-awareness with a nearby but different leadership concept.	Reflect, assess, ask.	A simple diagram illustrating self-awareness and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q009,LTL2-C7-PA-Q010	40
LTL2-C7-PA-Q009	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-APPRAISAL	LTL2-C7-A-APPRAISAL	hard	scenario	multiple_choice	both	scenario	Two cadets face the same difficult inspection. One sees a chance to improve; the other sees certain humiliation. Their different reactions begin with different	appraisals	position powers	mental models only	contingent rewards	A	Their interpretations of the same event are different appraisals.	1	Their interpretations of the same event are different appraisals. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Correct. Their interpretations of the same event are different appraisals.	Not quite. “position powers” is plausible, but it does not match the exact concept tested here. Their interpretations of the same event are different appraisals.	Not quite. “mental models only” is plausible, but it does not match the exact concept tested here. Their interpretations of the same event are different appraisals.	Not quite. “contingent rewards” is plausible, but it does not match the exact concept tested here. Their interpretations of the same event are different appraisals.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of appraisal, then compare it with the closest distractor and state the one key difference.	Same event, different meaning.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q009	Simple instructional diagram contrasting appraisal with a nearby but different leadership concept.	Same event, different meaning.	A simple diagram illustrating appraisal and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q010,LTL2-C7-PA-Q001	50
LTL2-C7-PA-Q010	Chapter 7 A: Emotional Intelligence Foundations	LTL2-C7-OBJ-1-5	LTL2-C7-EMOTIONAL_INTELLIGENCE	LTL2-C7-A-EMOTIONAL_INTELLIGENCE	hard	misconception	multiple_choice	both	cap_direct	Which statement best distinguishes emotional intelligence from simply being emotional?	EI means showing every feeling openly	EI means using awareness of emotion to guide effective behavior	EI means avoiding strong emotion entirely	EI means choosing feelings over facts	B	Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression.	1	Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression. The other choices describe related ideas, but they do not match the exact definition or situation in the question.	Not quite. “EI means showing every feeling openly” is plausible, but it does not match the exact concept tested here. Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression.	Correct. Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression.	Not quite. “EI means avoiding strong emotion entirely” is plausible, but it does not match the exact concept tested here. Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression.	Not quite. “EI means choosing feelings over facts” is plausible, but it does not match the exact concept tested here. Emotional intelligence is purposeful awareness and management of emotions, not uncontrolled expression.	Confusing a related leadership concept with the exact term being tested.	Review the textbook definition of emotional intelligence, then compare it with the closest distractor and state the one key difference.	Use emotion intelligently—not impulsively.	high	concept_diagram	optional_after_answer	ltl2_c7_pa_q010	Simple instructional diagram contrasting emotional intelligence with a nearby but different leadership concept.	Use emotion intelligently—not impulsively.	A simple diagram illustrating emotional intelligence and how it differs from a related idea.	Learn to Lead Volume 2, Chapter 7, objectives 1-5	110-113	approved_source	draft	LTL2-C7-PA-Q001,LTL2-C7-PA-Q002	50
