external_id,module_number,chapter_number,chapter_title,objective_code,concept_code,question_family_code,question_type,question_style,difficulty,cognitive_level,question_text,choice_a,choice_b,choice_c,choice_d,correct_letter,short_explanation,explanation,choice_a_explanation,choice_b_explanation,choice_c_explanation,choice_d_explanation,memory_aid,remediation_text,source_document,source_pages,source_reference_text,visual_priority,visual_type,visual_display_mode,visual_asset_key,visual_group,visual_file_name,visual_storage_path,visual_status,show_visual_button,visual_brief,visual_caption,visual_alt_text,exam_likeness,distractor_difficulty,eligible_for_final_exam,final_exam_weight,content_origin,style_reference,review_status,reinforcement_question_ids,estimated_time_seconds,package_code
AD-M6-Q001,6,1,Unmanned Spacecraft,AD6-1-satellite_definition,AD6-1-satellite_definition,AD6-1-satellite_definition,multiple_choice,direct_exam_style,medium,recall,Which answer best matches this description: a natural or artificial object in space that orbits Earth?,satellite definition,a spacecraft that must carry a human crew,an object that can only orbit the Sun,a launch vehicle that always leaves Earth orbit,A,A natural or artificial object in space that orbits earth.,Satellite definition is the best answer because it refers to a natural or artificial object in space that orbits Earth.,Correct. A natural or artificial object in space that orbits earth.,"Not this one. A spacecraft that must carry a human crew is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.","Not this one. An object that can only orbit the sun is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.","Not this one. A launch vehicle that always leaves earth orbit is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.",Satellite = an attendant that orbits.,"Review Module 6, Chapter 1, pages 1-2. Then explain satellite definition without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,1-2,"Module 6, Chapter 1, pages 1-2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q002,35,AD_M6_100
AD-M6-Q002,6,1,Unmanned Spacecraft,AD6-1-satellite_definition,AD6-1-satellite_definition,AD6-1-satellite_definition,multiple_choice,brief_application,medium_hard,application,"Which concept or answer best fits this situation? The Moon circles Earth naturally, while thousands of human-made objects also circle Earth.",an object that can only orbit the Sun,satellite definition,a launch vehicle that always leaves Earth orbit,a spacecraft that must carry a human crew,B,A natural or artificial object in space that orbits earth.,Satellite definition is the best answer because it refers to a natural or artificial object in space that orbits Earth.,"Not this one. An object that can only orbit the sun is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.",Correct. A natural or artificial object in space that orbits earth.,"Not this one. A launch vehicle that always leaves earth orbit is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.","Not this one. A spacecraft that must carry a human crew is a related Module 6 term or fact, but it does not match the specific description. A natural or artificial object in space that orbits earth.",Satellite = an attendant that orbits.,"Review Module 6, Chapter 1, pages 1-2. Then explain satellite definition without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,1-2,"Module 6, Chapter 1, pages 1-2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q001,45,AD_M6_100
AD-M6-Q003,6,1,Unmanned Spacecraft,AD6-1-natural_satellite,AD6-1-natural_satellite,AD6-1-natural_satellite,multiple_choice,direct_exam_style,medium,recall,"Which answer best matches this description: the Moon, Earth's only natural satellite?",GOES,Sputnik,natural satellite,LANDSAT,C,"The moon, earth's only natural satellite.","Natural satellite is the best answer because it refers to the Moon, Earth's only natural satellite.","Not this one. Goes is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.","Not this one. Sputnik is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.","Correct. The moon, earth's only natural satellite.","Not this one. Landsat is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.",Natural satellite = Moon.,"Review Module 6, Chapter 1, pages 1-2. Then explain natural satellite without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,1-2,"Module 6, Chapter 1, pages 1-2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q004,35,AD_M6_100
AD-M6-Q004,6,1,Unmanned Spacecraft,AD6-1-natural_satellite,AD6-1-natural_satellite,AD6-1-natural_satellite,multiple_choice,brief_application,medium_hard,application,Which concept or answer best fits this situation? A cadet is asked to identify the one satellite Earth did not need humans to build.,Sputnik,LANDSAT,GOES,natural satellite,D,"The moon, earth's only natural satellite.","Natural satellite is the best answer because it refers to the Moon, Earth's only natural satellite.","Not this one. Sputnik is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.","Not this one. Landsat is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.","Not this one. Goes is a related Module 6 term or fact, but it does not match the specific description. The moon, earth's only natural satellite.","Correct. The moon, earth's only natural satellite.",Natural satellite = Moon.,"Review Module 6, Chapter 1, pages 1-2. Then explain natural satellite without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,1-2,"Module 6, Chapter 1, pages 1-2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,true,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q003,45,AD_M6_100
AD-M6-Q005,6,1,Unmanned Spacecraft,AD6-1-sputnik,AD6-1-sputnik,AD6-1-sputnik,multiple_choice,direct_exam_style,medium,recall,"Which answer best matches this description: the first artificial satellite, launched by the Soviet Union in 1957?",Sputnik,Transit,Tiros I,Explorer 1,A,"The first artificial satellite, launched by the soviet union in 1957.","Sputnik is the best answer because it refers to the first artificial satellite, launched by the Soviet Union in 1957.","Correct. The first artificial satellite, launched by the soviet union in 1957.","Not this one. Transit is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Not this one. Tiros i is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Not this one. Explorer 1 is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Sputnik = first artificial satellite, 1957.","Review Module 6, Chapter 1, pages 2. Then explain Sputnik without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2,"Module 6, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q006,35,AD_M6_100
AD-M6-Q006,6,1,Unmanned Spacecraft,AD6-1-sputnik,AD6-1-sputnik,AD6-1-sputnik,multiple_choice,brief_application,medium_hard,application,Which concept or answer best fits this situation? A Soviet spacecraft launched in 1957 begins the era of artificial satellites.,Explorer 1,Sputnik,Transit,Tiros I,B,"The first artificial satellite, launched by the soviet union in 1957.","Sputnik is the best answer because it refers to the first artificial satellite, launched by the Soviet Union in 1957.","Not this one. Explorer 1 is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Correct. The first artificial satellite, launched by the soviet union in 1957.","Not this one. Transit is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Not this one. Tiros i is a related Module 6 term or fact, but it does not match the specific description. The first artificial satellite, launched by the soviet union in 1957.","Sputnik = first artificial satellite, 1957.","Review Module 6, Chapter 1, pages 2. Then explain Sputnik without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2,"Module 6, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module6_spacecraft_basics,module6_spacecraft_basics,module6_spacecraft_basics.png,/assets/cap-visuals/module6_spacecraft_basics.png,approved,true,"Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.","Satellites, orbit, apogee, perigee, satellite types, probes, and Sputnik.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q005,45,AD_M6_100
AD-M6-Q007,6,1,Unmanned Spacecraft,AD6-1-comsat,AD6-1-comsat,AD6-1-comsat,multiple_choice,direct_exam_style,medium,recall,Which answer best matches this description: a communications satellite used to relay communications signals?,LANDSAT,GNSS,COMSAT,GOES,C,A communications satellite used to relay communications signals.,Comsat is the best answer because it refers to a communications satellite used to relay communications signals.,"Not this one. Landsat is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.","Not this one. Gnss is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.",Correct. A communications satellite used to relay communications signals.,"Not this one. Goes is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.",COMSAT = communications satellite.,"Review Module 6, Chapter 1, pages 2-4. Then explain COMSAT without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2-4,"Module 6, Chapter 1, pages 2-4",high,educational_infographic,optional_after_answer,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions.png,/assets/cap-visuals/module6_unmanned_spacecraft_missions.png,approved,true,"Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q008,35,AD_M6_100
AD-M6-Q008,6,1,Unmanned Spacecraft,AD6-1-comsat,AD6-1-comsat,AD6-1-comsat,multiple_choice,brief_application,medium_hard,application,"Which concept or answer best fits this situation? A satellite receives a communications signal, amplifies it, and retransmits it toward its destination.",GNSS,LANDSAT,GOES,COMSAT,D,A communications satellite used to relay communications signals.,Comsat is the best answer because it refers to a communications satellite used to relay communications signals.,"Not this one. Gnss is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.","Not this one. Landsat is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.","Not this one. Goes is a related Module 6 term or fact, but it does not match the specific description. A communications satellite used to relay communications signals.",Correct. A communications satellite used to relay communications signals.,COMSAT = communications satellite.,"Review Module 6, Chapter 1, pages 2-4. Then explain COMSAT without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2-4,"Module 6, Chapter 1, pages 2-4",high,educational_infographic,optional_after_answer,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions.png,/assets/cap-visuals/module6_unmanned_spacecraft_missions.png,approved,true,"Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.",high,close,true,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q007,45,AD_M6_100
AD-M6-Q009,6,1,Unmanned Spacecraft,AD6-1-score,AD6-1-score,AD6-1-score,multiple_choice,direct_exam_style,medium,recall,"Which answer best matches this description: the first communications satellite, which relayed taped messages in 1958?",Score,Transit,Explorer 1,Telstar 1,A,"The first communications satellite, which relayed taped messages in 1958.","Score is the best answer because it refers to the first communications satellite, which relayed taped messages in 1958.","Correct. The first communications satellite, which relayed taped messages in 1958.","Not this one. Transit is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.","Not this one. Explorer 1 is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.","Not this one. Telstar 1 is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.",Score scored first in COMSATs.,"Review Module 6, Chapter 1, pages 2. Then explain Score without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2,"Module 6, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions.png,/assets/cap-visuals/module6_unmanned_spacecraft_missions.png,approved,true,"Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q010,35,AD_M6_100
AD-M6-Q010,6,1,Unmanned Spacecraft,AD6-1-score,AD6-1-score,AD6-1-score,multiple_choice,brief_application,medium_hard,application,Which concept or answer best fits this situation? In 1958 a satellite operates only 13 days but excites the nation by sending taped messages from orbit.,Explorer 1,Score,Telstar 1,Transit,B,"The first communications satellite, which relayed taped messages in 1958.","Score is the best answer because it refers to the first communications satellite, which relayed taped messages in 1958.","Not this one. Explorer 1 is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.","Correct. The first communications satellite, which relayed taped messages in 1958.","Not this one. Telstar 1 is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.","Not this one. Transit is a related Module 6 term or fact, but it does not match the specific description. The first communications satellite, which relayed taped messages in 1958.",Score scored first in COMSATs.,"Review Module 6, Chapter 1, pages 2. Then explain Score without looking at the choices.",Aerospace Dimensions Module 6: Spacecraft,2,"Module 6, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions,module6_unmanned_spacecraft_missions.png,/assets/cap-visuals/module6_unmanned_spacecraft_missions.png,approved,true,"Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.","Communications, navigation, weather, Earth-observing satellites, deep-space probes, and X-37 uses.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M6-Q009,45,AD_M6_100
