external_id,module_number,chapter_number,chapter_title,objective_code,concept_code,question_family_code,question_type,question_style,difficulty,cognitive_level,question_text,choice_a,choice_b,choice_c,choice_d,correct_letter,short_explanation,explanation,choice_a_explanation,choice_b_explanation,choice_c_explanation,choice_d_explanation,memory_aid,remediation_text,source_document,source_pages,source_reference_text,visual_priority,visual_type,visual_display_mode,visual_asset_key,visual_group,visual_file_name,visual_storage_path,visual_status,show_visual_button,visual_brief,visual_caption,visual_alt_text,exam_likeness,distractor_difficulty,eligible_for_final_exam,final_exam_weight,content_origin,style_reference,review_status,reinforcement_question_ids,estimated_time_seconds,package_code
AD-M7-Q001,7,1,Introduction to Cyber Security,AD7-1-cyberspace_definition,AD7-1-cyberspace_definition,AD7-1-cyberspace_definition,multiple_choice,direct_exam_style,medium,recall,Which answer best defines cyberspace?,the environment that lets digital technology communicate via the Internet,a single computer used only for security testing,the physical room where servers are stored,a law that controls online behavior,A,Cyberspace is the environment that lets digital technology communicate through the Internet.,"Cyberspace refers to the digital environment where devices, services, and users connect and communicate through the Internet. It is broader than one computer or one room, and it is not a law or policy.",Correct. Cyberspace is the environment that lets digital technology communicate through the Internet.,"Not quite. ""a single computer used only for security testing"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.","Not quite. ""the physical room where servers are stored"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.","Not quite. ""a law that controls online behavior"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.",Cyber + space = digital space.,"Review Module 7, Chapter 1, pages 1-3. Then explain cyberspace definition in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,1-3,"Module 7, Chapter 1, pages 1-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q002,35,AD_M7_100
AD-M7-Q002,7,1,Introduction to Cyber Security,AD7-1-cyberspace_definition,AD7-1-cyberspace_definition,AD7-1-cyberspace_definition,multiple_choice,scenario_exam_style,medium,application,A cadet says cyberspace is the virtual environment where connected digital devices and online services interact. Which term fits best?,a single computer used only for security testing,the environment that lets digital technology communicate via the Internet,the physical room where servers are stored,a law that controls online behavior,B,Cyberspace is the environment that lets digital technology communicate through the Internet.,"Cyberspace refers to the digital environment where devices, services, and users connect and communicate through the Internet. It is broader than one computer or one room, and it is not a law or policy.","Not quite. ""a single computer used only for security testing"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.",Correct. Cyberspace is the environment that lets digital technology communicate through the Internet.,"Not quite. ""the physical room where servers are stored"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.","Not quite. ""a law that controls online behavior"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the environment that lets digital technology communicate via the Internet"" because cyberspace is the environment that lets digital technology communicate through the Internet.",Cyber + space = digital space.,"Review Module 7, Chapter 1, pages 1-3. Then explain cyberspace definition in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,1-3,"Module 7, Chapter 1, pages 1-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q001,45,AD_M7_100
AD-M7-Q003,7,1,Introduction to Cyber Security,AD7-1-physical_layer,AD7-1-physical_layer,AD7-1-physical_layer,multiple_choice,direct_exam_style,medium,recall,Which description best matches the physical layer of cyberspace?,the online services and data you cannot physically touch,the moral rules for using computers responsibly,the part of cyberspace made of devices and hardware you can touch,the process of splitting a message into packets,C,The physical layer is the hardware side of cyberspace—the devices you can touch.,"The physical layer includes hardware such as computers, phones, tablets, routers, and other devices that connect to the Internet. It is different from online data and services, which belong to the digital layer.","Not quite. ""the online services and data you cannot physically touch"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.","Not quite. ""the moral rules for using computers responsibly"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.",Correct. The physical layer is the hardware side of cyberspace—the devices you can touch.,"Not quite. ""the process of splitting a message into packets"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.",Physical = touchable.,"Review Module 7, Chapter 1, pages 2-3. Then explain physical layer in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,2-3,"Module 7, Chapter 1, pages 2-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q004,35,AD_M7_100
AD-M7-Q004,7,1,Introduction to Cyber Security,AD7-1-physical_layer,AD7-1-physical_layer,AD7-1-physical_layer,multiple_choice,scenario_exam_style,medium,application,"A cadet points to a laptop, tablet, router, and game console and asks what part of cyberspace they belong to. What is the best answer?",the online services and data you cannot physically touch,the moral rules for using computers responsibly,the process of splitting a message into packets,the part of cyberspace made of devices and hardware you can touch,D,The physical layer is the hardware side of cyberspace—the devices you can touch.,"The physical layer includes hardware such as computers, phones, tablets, routers, and other devices that connect to the Internet. It is different from online data and services, which belong to the digital layer.","Not quite. ""the online services and data you cannot physically touch"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.","Not quite. ""the moral rules for using computers responsibly"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.","Not quite. ""the process of splitting a message into packets"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the part of cyberspace made of devices and hardware you can touch"" because the physical layer is the hardware side of cyberspace—the devices you can touch.",Correct. The physical layer is the hardware side of cyberspace—the devices you can touch.,Physical = touchable.,"Review Module 7, Chapter 1, pages 2-3. Then explain physical layer in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,2-3,"Module 7, Chapter 1, pages 2-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q003,45,AD_M7_100
AD-M7-Q005,7,1,Introduction to Cyber Security,AD7-1-digital_layer,AD7-1-digital_layer,AD7-1-digital_layer,multiple_choice,direct_exam_style,medium,recall,Which answer best describes the digital layer of cyberspace?,"the data, programs, and services that run in cyberspace",the hardware devices connected to a network,a crime committed online for profit,a special kind of web browser,A,The digital layer is the information and services that run across connected systems.,"The digital layer includes data, software, and online services that people access through connected devices. It is different from the physical devices themselves.",Correct. The digital layer is the information and services that run across connected systems.,"Not quite. ""the hardware devices connected to a network"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.","Not quite. ""a crime committed online for profit"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.","Not quite. ""a special kind of web browser"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.","Digital = data, not devices.","Review Module 7, Chapter 1, pages 2-3. Then explain digital layer in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,2-3,"Module 7, Chapter 1, pages 2-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q006,35,AD_M7_100
AD-M7-Q006,7,1,Introduction to Cyber Security,AD7-1-digital_layer,AD7-1-digital_layer,AD7-1-digital_layer,multiple_choice,scenario_exam_style,medium,application,A file is stored in the cloud and shared through an online app. Which part of cyberspace is being described most directly?,the hardware devices connected to a network,"the data, programs, and services that run in cyberspace",a crime committed online for profit,a special kind of web browser,B,The digital layer is the information and services that run across connected systems.,"The digital layer includes data, software, and online services that people access through connected devices. It is different from the physical devices themselves.","Not quite. ""the hardware devices connected to a network"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.",Correct. The digital layer is the information and services that run across connected systems.,"Not quite. ""a crime committed online for profit"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.","Not quite. ""a special kind of web browser"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""the data, programs, and services that run in cyberspace"" because the digital layer is the information and services that run across connected systems.","Digital = data, not devices.","Review Module 7, Chapter 1, pages 2-3. Then explain digital layer in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,2-3,"Module 7, Chapter 1, pages 2-3",high,educational_infographic,optional_after_answer,module7_cyberspace_basics,module7_cyberspace_basics,cyberspace_and_cybersecurity_basics_infographic.png,/assets/cap-visuals/cyberspace_and_cybersecurity_basics_infographic.png,approved,true,"Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.","Cyberspace layers, devices, clients, servers, networks, and key cyber concepts.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q005,45,AD_M7_100
AD-M7-Q007,7,1,Introduction to Cyber Security,AD7-1-network_definition,AD7-1-network_definition,AD7-1-network_definition,multiple_choice,direct_exam_style,medium,recall,What is a network?,a single file sent through email,a rule for choosing strong passwords,a channel that links devices so they can share data,a crime that targets online banking,C,A network links devices together so they can communicate and share data.,"A network is a communication channel that connects computers and other devices so information and resources can be shared. It is not a file, password rule, or crime type.","Not quite. ""a single file sent through email"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.","Not quite. ""a rule for choosing strong passwords"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.",Correct. A network links devices together so they can communicate and share data.,"Not quite. ""a crime that targets online banking"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.",Network = linked devices.,"Review Module 7, Chapter 1, pages 3-4. Then explain network definition in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,3-4,"Module 7, Chapter 1, pages 3-4",high,educational_infographic,optional_after_answer,module7_network_communication,module7_network_communication,how_networks_communicate_infographic.png,/assets/cap-visuals/how_networks_communicate_infographic.png,approved,true,"Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q008,35,AD_M7_100
AD-M7-Q008,7,1,Introduction to Cyber Security,AD7-1-network_definition,AD7-1-network_definition,AD7-1-network_definition,multiple_choice,scenario_exam_style,medium,application,"Several computers, printers, and tablets are linked so they can exchange files and use the same resources. What is that arrangement called?",a single file sent through email,a rule for choosing strong passwords,a crime that targets online banking,a channel that links devices so they can share data,D,A network links devices together so they can communicate and share data.,"A network is a communication channel that connects computers and other devices so information and resources can be shared. It is not a file, password rule, or crime type.","Not quite. ""a single file sent through email"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.","Not quite. ""a rule for choosing strong passwords"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.","Not quite. ""a crime that targets online banking"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""a channel that links devices so they can share data"" because a network links devices together so they can communicate and share data.",Correct. A network links devices together so they can communicate and share data.,Network = linked devices.,"Review Module 7, Chapter 1, pages 3-4. Then explain network definition in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,3-4,"Module 7, Chapter 1, pages 3-4",high,educational_infographic,optional_after_answer,module7_network_communication,module7_network_communication,how_networks_communicate_infographic.png,/assets/cap-visuals/how_networks_communicate_infographic.png,approved,true,"Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q007,45,AD_M7_100
AD-M7-Q009,7,1,Introduction to Cyber Security,AD7-1-packet_switching,AD7-1-packet_switching,AD7-1-packet_switching,multiple_choice,direct_exam_style,medium,recall,What is packet switching?,splitting a message into small packets so it can travel efficiently across a network,hiding a message inside a picture file,disconnecting a device from the Internet,storing a message on only one server,A,Packet switching sends information as small packets that are reassembled later.,"Packet switching breaks a large message into smaller packets so networks can send data more efficiently. If one path is unavailable, packets may take another route and still be reassembled at the end.",Correct. Packet switching sends information as small packets that are reassembled later.,"Not quite. ""hiding a message inside a picture file"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.","Not quite. ""disconnecting a device from the Internet"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.","Not quite. ""storing a message on only one server"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.",Packets split to fit.,"Review Module 7, Chapter 1, pages 4-5. Then explain packet switching in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,4-5,"Module 7, Chapter 1, pages 4-5",high,educational_infographic,optional_after_answer,module7_network_communication,module7_network_communication,how_networks_communicate_infographic.png,/assets/cap-visuals/how_networks_communicate_infographic.png,approved,true,"Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q010,35,AD_M7_100
AD-M7-Q010,7,1,Introduction to Cyber Security,AD7-1-packet_switching,AD7-1-packet_switching,AD7-1-packet_switching,multiple_choice,scenario_exam_style,medium,application,"A long message is divided into smaller parts, sent along available paths, and reassembled at the destination. What process is this?",hiding a message inside a picture file,splitting a message into small packets so it can travel efficiently across a network,disconnecting a device from the Internet,storing a message on only one server,B,Packet switching sends information as small packets that are reassembled later.,"Packet switching breaks a large message into smaller packets so networks can send data more efficiently. If one path is unavailable, packets may take another route and still be reassembled at the end.","Not quite. ""hiding a message inside a picture file"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.",Correct. Packet switching sends information as small packets that are reassembled later.,"Not quite. ""disconnecting a device from the Internet"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.","Not quite. ""storing a message on only one server"" is related to Module 7 cyber security, but it is not the best answer here. The best answer is ""splitting a message into small packets so it can travel efficiently across a network"" because packet switching sends information as small packets that are reassembled later.",Packets split to fit.,"Review Module 7, Chapter 1, pages 4-5. Then explain packet switching in your own words and compare it with the closest distractor.",Aerospace Dimensions Module 7: Cyber Security,4-5,"Module 7, Chapter 1, pages 4-5",high,educational_infographic,optional_after_answer,module7_network_communication,module7_network_communication,how_networks_communicate_infographic.png,/assets/cap-visuals/how_networks_communicate_infographic.png,approved,true,"Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.","Packets, switches, routers, client-server communication, the internet, and network addresses.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M7-Q009,45,AD_M7_100
